id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,url
425n1NoRtgA,Taylor Swift - The Other Side Of The Door (Taylor’s Version) (Lyric Video),2021-04-09T04:00:03Z,"Official lyric video for “The Other Side Of The Door” (Taylor’s Version) – off her Fearless (Taylor’s Version) album. Get the album here: https://taylor.lnk.to/fearlesstaylorsversion. 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13
TikTok: http://tiktok.com/@taylornation

Official Lyrics:

In the heat of the fight, I walked away 
Ignoring words that you were saying 
Trying to make me stay 
I said this time, I’ve had enough 
And you’ve called a hundred times 
But I’m not picking up 
Cause I’m so mad, I might tell you that it’s over 
But if you look a little closer 

I said leave, but all I really want is you 
To stand outside my window throwing pebbles 
Screaming I’m in love with you 
Wait there in the pouring rain coming back for more 
And don’t you leave, cause I know all I need 
Is on the other side of the door 

Me and my stupid pride are sitting here alone 
Going through the photographs, staring at the phone 
I keep going back over things we both said
And I remember the slamming door 
And all the things that I misread 
So babe, if you know everything 
Tell me why you couldn’t see 
When I left I wanted you to chase after me, yeah 

Repeat chorus 

And I’ll scream out the window 
I can’t even look at you 
I don’t need you, but I do, I do, I do 
I’ll say there’s nothing you can say 
To make this right again 
I mean it . . . I mean it 
What I mean is 

I said leave, but baby all I want is you 
To stand outside my window throwing pebbles 
Screaming I’m in love with you 
Wait there in the pouring rain coming back for more 
And don’t you leave, cause I know all I need 
Is on the other side of the door 

With your face and the beautiful eyes 
And the conversation with the little white lies 
And the faded picture of a beautiful night, you 
Carried me from your car up the stairs 
And I broke down crying, was she worth this mess 
After everything and that little black dress 
After everything I must confess I need you

#taylorswift #theothersideofthedoor #fearlesstaylorsversion",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,1317115,54878,131,0,2054,https://www.youtube.com/watch?v=425n1NoRtgA
4wUPASp2hfY,Taylor Swift - Speak Now (Live on Letterman),2010-12-08T04:41:04Z,"Music video by Taylor Swift performing Speak Now (Live on Letterman). Big Machine Records, LLC.
 
►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,16563684,114393,2301,0,7047,https://www.youtube.com/watch?v=4wUPASp2hfY
5FODVFJZlTg,"Taylor Swift - #VevoCertified, Pt. 5: You Belong With Me (Taylor Commentary)",2012-10-29T15:45:07Z,"Music video by Taylor Swift performing #VEVOCertified, Pt. 5: You Belong With Me (Taylor Commentary). (C) 2012 Big Machine Records, LLC.
 
►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,1766902,16831,708,0,1563,https://www.youtube.com/watch?v=5FODVFJZlTg
6DP4q_1EgQQ,Taylor Swift – mad woman (Official Lyric Video),2020-07-24T04:00:02Z,"Official lyric video by Taylor Swift performing “mad woman” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #madwoman #folklore",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,8098293,210727,1542,0,7990,https://www.youtube.com/watch?v=6DP4q_1EgQQ
6TAPqXkZW_I,Taylor Swift – betty (Official Lyric Video),2020-07-24T04:00:03Z,"Official lyric video by Taylor Swift performing “betty” – off her album ‘folklore.’ 
Album available here: https://store.taylorswift.com 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: https://store.taylorswift.com  

►Follow Taylor Swift Online 
Instagram: http://www.instagram.com/taylorswift  
Facebook: http://www.facebook.com/taylorswift   
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://www.twitter.com/taylorswift13  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online 
Instagram: http://www.instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://www.twitter.com/taylornation13 

#TaylorSwift #betty #folklore",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,17360180,320510,3459,0,15701,https://www.youtube.com/watch?v=6TAPqXkZW_I
70Ps-GzbSfw,Shake It Off Outtakes Video #5 - The Twerkers and Finger Tutting (Behind-The-Scenes Video),2014-09-24T04:01:00Z,"Music video by Taylor Swift performing Shake It Off Outtakes Video #5 - The Twerkers and Finger Tutting. (C) 2014 Big Machine Records, LLC.
 
►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,7893878,56885,2730,0,1848,https://www.youtube.com/watch?v=70Ps-GzbSfw
7EvwIw4gIyk,Taylor Swift - willow (Official Lyric Video),2020-12-11T05:00:01Z,"Official lyric video by Taylor Swift performing “willow” – off her evermore album. 
Listen to the album here: https://taylor.lnk.to/evermorealbum 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe  
 
►Exclusive Merch: http://taylorswift.lnk.to/store 

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift   
Facebook: http://facebook.com/taylorswift    
Tumblr: http://taylorswift.tumblr.com   
Twitter: http://twitter.com/taylorswift13   
Snapchat: http://snapchat.com/add/taylorswift 
Website: http://www.taylorswift.com   

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation   
Tumblr: http://taylornation.tumblr.com   
Twitter: http://twitter.com/taylornation13

#TaylorSwift #willow #evermore

Music video by Taylor Swift performing willow (Lyric Video). © 2020 Taylor Swift

http://vevo.ly/Zzko8W",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,5469993,150766,970,0,4084,https://www.youtube.com/watch?v=7EvwIw4gIyk
7F37r50VUTQ,"ZAYN, Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)",2017-01-27T05:00:30Z,"►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,647454135,4613636,191379,0,132240,https://www.youtube.com/watch?v=7F37r50VUTQ
7lLigiVgJsE,Taylor Swift - Fearless (Taylor's Version) (Lyric Video),2021-04-09T04:00:04Z,"Official lyric video for “Fearless” (Taylor’s Version) – off her Fearless (Taylor’s Version) album. Get the album here: https://taylor.lnk.to/fearlesstaylorsversion. 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13
TikTok: http://tiktok.com/@taylornation

Official Lyrics:
 
There’s something ‘bout the way 
The street looks when it’s just rained 
There’s a glow off the pavement 
You walk me to the car 
And you know I want to ask you to dance right there 
In the middle of the parking lot, yeah 
Oh, yeah 

We’re driving down the road 
I wonder if you know 
I’m trying so hard not to get caught up now 
But you’re just so cool, run your hands through your hair 
Absentmindedly makin’ me want you 

And I don’t know how it gets better than this 
You take my hand and drag me headfirst 
Fearless 
And I don’t know why but with you I’d dance 
In a storm in my best dress 
Fearless 

So baby drive slow till we run out of road 
In this one-horse town, I wanna stay right here 
In this passenger seat 
You put your eyes on me In this moment now 
Capture it, remember it 

Repeat chorus 
Oh, oh 

Well you stood there with me in the doorway 
My hands shake, I’m not usually this way but 
You pull me in and I’m a little more brave 
It’s a first kiss, it’s flawless, really something 
It’s fearless 
Oh, yeah 

Repeat chorus 
Repeat chorus
 
Oh, oh 
Oh, yeah

#taylorswift #fearless #fearlesstaylorsversion",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,8361211,223911,2554,0,10501,https://www.youtube.com/watch?v=7lLigiVgJsE
8bNlGwnEUAs,Taylor Swift - Untouchable (Taylor's Version) (Lyric Video),2021-04-09T04:00:02Z,"Official lyric video for “Untouchable” (Taylor’s Version) – off her Fearless (Taylor’s Version) album. Get the album here: https://taylor.lnk.to/fearlesstaylorsversion. 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13
TikTok: http://tiktok.com/@taylornation

Official Lyrics:

Untouchable like a distant diamond sky 
I’m reaching out and I just can't tell you why 
I'm caught up in you, I'm caught up in you 
Untouchable burning brighter than the sun 
And when you're close I feel like coming undone 

In the middle of the night when I'm in this dream 
It's like a million little stars spelling out your name 
You gotta c’mon c’mon 
Say that we'll be together 
C’mon c’mon 
Little taste of heaven 

It's half full and I won't wait here all day 
I know you’re saying that you'd be here anyway 
But you’re untouchable burning brighter than the sun 
And now that you're close I feel like coming undone

 In the middle of the night when I'm in this dream 
It's like a million little stars spelling out your name 
You gotta c’mon c’mon 
Say that we’ll be together 
C’mon c’mon, oh 

In the middle of the night waking from this dream 
I wanna feel you by my side standing next to me 
You gotta c’mon c’mon 
Say that we'll be together 
C’mon c’mon 
Little taste of heaven 

I’m caught up in you, oh, oh 

But you’re untouchable burning brighter than the sun 
Now that you're close I feel like coming undone 

In the middle of the night when I'm in this dream 
It's like a million little stars spelling out your name 
You gotta c’mon c’mon 
Say that we’ll be together 
C’mon c’mon, oh 

In the middle of the night when I'm in this dream 
It's like a million little stars spelling out your name 
You gotta c’mon c’mon 
Say that we’ll be together 
C’mon c’mon 
C’mon 

In the middle of the night waking from this dream 
I wanna feel you by my side standing next to me 
You gotta c’mon c’mon 
Say that we'll be together 
C’mon c’mon 
Little taste of heaven 

And in the middle of the night when I'm in this dream 
It's like a million little stars spelling out your name 
You gotta c’mon c’mon, oh 
C’mon c’mon 
C’mon c’mon, oh oh oh oh 

It’s like a million little stars spelling out your name 
Spelling out your name, oh

#taylorswift #untouchable #fearlesstaylorsversion",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,2338690,75406,233,0,3869,https://www.youtube.com/watch?v=8bNlGwnEUAs
8hsVICl7d8k,Taylor Swift - Eyes Open (Lyric Version),2012-05-17T07:00:08Z,"Music video by Taylor Swift performing Eyes Open. (C) 2012 Big Machine Records, LLC.
 
►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com
 
►Follow Taylor Nation Online
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13",UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,17802556,160875,2845,0,10896,https://www.youtube.com/watch?v=8hsVICl7d8k
