artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode,href,id,name,popularity,preview_url,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.598,0.821,10,-4.433,1,0.0447,0.0231,0,0.143,0.673,128.03,1msEuwSBneBKpVCZQcFTsU,https://api.spotify.com/v1/audio-analysis/1msEuwSBneBKpVCZQcFTsU,4,,,1,225328,FALSE,https://api.spotify.com/v1/tracks/1msEuwSBneBKpVCZQcFTsU,FALSE,Forever & Always (Taylor’s Version),NA,11,track,spotify:track:1msEuwSBneBKpVCZQcFTsU,https://open.spotify.com/track/1msEuwSBneBKpVCZQcFTsU,Fearless (Taylor's Version),A#,major,A# major,https://api.spotify.com/v1/tracks/1msEuwSBneBKpVCZQcFTsU,1msEuwSBneBKpVCZQcFTsU,Forever & Always (Taylor’s Version),66,NA,spotify:track:1msEuwSBneBKpVCZQcFTsU,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100627
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.642,0.576,1,-8.524,1,0.0282,0.488,0,0.159,0.469,125,6ON9UuIq49xXY9GPmHIYRp,https://api.spotify.com/v1/audio-analysis/6ON9UuIq49xXY9GPmHIYRp,4,,,1,245290,FALSE,https://api.spotify.com/v1/tracks/6ON9UuIq49xXY9GPmHIYRp,FALSE,The Best Day (Taylor’s Version),NA,12,track,spotify:track:6ON9UuIq49xXY9GPmHIYRp,https://open.spotify.com/track/6ON9UuIq49xXY9GPmHIYRp,Fearless (Taylor's Version),C#,major,C# major,https://api.spotify.com/v1/tracks/6ON9UuIq49xXY9GPmHIYRp,6ON9UuIq49xXY9GPmHIYRp,The Best Day (Taylor’s Version),61,NA,spotify:track:6ON9UuIq49xXY9GPmHIYRp,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100628
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.499,0.815,5,-4.063,1,0.0341,1.91e-4,0,0.181,0.344,95.999,3ExweHKZF9B752DPQByRVT,https://api.spotify.com/v1/audio-analysis/3ExweHKZF9B752DPQByRVT,4,,,1,279359,FALSE,https://api.spotify.com/v1/tracks/3ExweHKZF9B752DPQByRVT,FALSE,Change (Taylor’s Version),NA,13,track,spotify:track:3ExweHKZF9B752DPQByRVT,https://open.spotify.com/track/3ExweHKZF9B752DPQByRVT,Fearless (Taylor's Version),F,major,F major,https://api.spotify.com/v1/tracks/3ExweHKZF9B752DPQByRVT,3ExweHKZF9B752DPQByRVT,Change (Taylor’s Version),60,NA,spotify:track:3ExweHKZF9B752DPQByRVT,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100629
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.572,0.69,2,-6.201,1,0.0358,0.0474,0,0.0897,0.624,160.111,2m3ObD945KvpE5y9A1eUWm,https://api.spotify.com/v1/audio-analysis/2m3ObD945KvpE5y9A1eUWm,4,,,1,237580,FALSE,https://api.spotify.com/v1/tracks/2m3ObD945KvpE5y9A1eUWm,FALSE,Jump Then Fall (Taylor’s Version),NA,14,track,spotify:track:2m3ObD945KvpE5y9A1eUWm,https://open.spotify.com/track/2m3ObD945KvpE5y9A1eUWm,Fearless (Taylor's Version),D,major,D major,https://api.spotify.com/v1/tracks/2m3ObD945KvpE5y9A1eUWm,2m3ObD945KvpE5y9A1eUWm,Jump Then Fall (Taylor’s Version),61,NA,spotify:track:2m3ObD945KvpE5y9A1eUWm,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100630
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.393,0.531,5,-6.112,1,0.0329,0.0181,0,0.169,0.224,200.391,0tQ9vBYpldCuikPsbgOVKA,https://api.spotify.com/v1/audio-analysis/0tQ9vBYpldCuikPsbgOVKA,4,,,1,312107,FALSE,https://api.spotify.com/v1/tracks/0tQ9vBYpldCuikPsbgOVKA,FALSE,Untouchable (Taylor’s Version),NA,15,track,spotify:track:0tQ9vBYpldCuikPsbgOVKA,https://open.spotify.com/track/0tQ9vBYpldCuikPsbgOVKA,Fearless (Taylor's Version),F,major,F major,https://api.spotify.com/v1/tracks/0tQ9vBYpldCuikPsbgOVKA,0tQ9vBYpldCuikPsbgOVKA,Untouchable (Taylor’s Version),61,NA,spotify:track:0tQ9vBYpldCuikPsbgOVKA,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100631
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.546,0.273,9,-9.208,1,0.0308,0.819,0,0.137,0.271,118.753,01QdEx6kFr78ZejhQtWR5m,https://api.spotify.com/v1/audio-analysis/01QdEx6kFr78ZejhQtWR5m,4,,,1,267833,FALSE,https://api.spotify.com/v1/tracks/01QdEx6kFr78ZejhQtWR5m,FALSE,Forever & Always (Piano Version) (Taylor’s Version),NA,16,track,spotify:track:01QdEx6kFr78ZejhQtWR5m,https://open.spotify.com/track/01QdEx6kFr78ZejhQtWR5m,Fearless (Taylor's Version),A,major,A major,https://api.spotify.com/v1/tracks/01QdEx6kFr78ZejhQtWR5m,01QdEx6kFr78ZejhQtWR5m,Forever & Always (Piano Version) (Taylor’s Version),62,NA,spotify:track:01QdEx6kFr78ZejhQtWR5m,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100632
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.476,0.564,2,-5.677,1,0.0269,0.0406,0,0.102,0.167,143.929,1n2wszmJyVkw6FHqyLnQsY,https://api.spotify.com/v1/audio-analysis/1n2wszmJyVkw6FHqyLnQsY,4,,,1,237338,FALSE,https://api.spotify.com/v1/tracks/1n2wszmJyVkw6FHqyLnQsY,FALSE,Come In With The Rain (Taylor’s Version),NA,17,track,spotify:track:1n2wszmJyVkw6FHqyLnQsY,https://open.spotify.com/track/1n2wszmJyVkw6FHqyLnQsY,Fearless (Taylor's Version),D,major,D major,https://api.spotify.com/v1/tracks/1n2wszmJyVkw6FHqyLnQsY,1n2wszmJyVkw6FHqyLnQsY,Come In With The Rain (Taylor’s Version),60,NA,spotify:track:1n2wszmJyVkw6FHqyLnQsY,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100633
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.454,0.555,2,-6.69,1,0.0283,0.157,0,0.343,0.171,171.862,51A8eKvvZz9uydvIZ7xRSV,https://api.spotify.com/v1/audio-analysis/51A8eKvvZz9uydvIZ7xRSV,4,,,1,263865,FALSE,https://api.spotify.com/v1/tracks/51A8eKvvZz9uydvIZ7xRSV,FALSE,Superstar (Taylor’s Version),NA,18,track,spotify:track:51A8eKvvZz9uydvIZ7xRSV,https://open.spotify.com/track/51A8eKvvZz9uydvIZ7xRSV,Fearless (Taylor's Version),D,major,D major,https://api.spotify.com/v1/tracks/51A8eKvvZz9uydvIZ7xRSV,51A8eKvvZz9uydvIZ7xRSV,Superstar (Taylor’s Version),59,NA,spotify:track:51A8eKvvZz9uydvIZ7xRSV,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100634
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.432,0.873,4,-4.367,1,0.0577,0.0279,0,0.167,0.629,163.936,1cSFlSBdpT4F5vb1frQ231,https://api.spotify.com/v1/audio-analysis/1cSFlSBdpT4F5vb1frQ231,4,,,1,238443,FALSE,https://api.spotify.com/v1/tracks/1cSFlSBdpT4F5vb1frQ231,FALSE,The Other Side Of The Door (Taylor’s Version),NA,19,track,spotify:track:1cSFlSBdpT4F5vb1frQ231,https://open.spotify.com/track/1cSFlSBdpT4F5vb1frQ231,Fearless (Taylor's Version),E,major,E major,https://api.spotify.com/v1/tracks/1cSFlSBdpT4F5vb1frQ231,1cSFlSBdpT4F5vb1frQ231,The Other Side Of The Door (Taylor’s Version),63,NA,spotify:track:1cSFlSBdpT4F5vb1frQ231,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100635
Taylor Swift,06HL4z0CvFAxyc27GXpf02,4hDok0OAJd57SGIT8xuWJH,album,,2021-04-09,2021,day,0.482,0.779,7,-5.025,1,0.0409,0.0135,0,0.296,0.328,158.162,2JoJrsEV15OzbijS47lids,https://api.spotify.com/v1/audio-analysis/2JoJrsEV15OzbijS47lids,4,,,1,241822,FALSE,https://api.spotify.com/v1/tracks/2JoJrsEV15OzbijS47lids,FALSE,Today Was A Fairytale (Taylor’s Version),NA,20,track,spotify:track:2JoJrsEV15OzbijS47lids,https://open.spotify.com/track/2JoJrsEV15OzbijS47lids,Fearless (Taylor's Version),G,major,G major,https://api.spotify.com/v1/tracks/2JoJrsEV15OzbijS47lids,2JoJrsEV15OzbijS47lids,Today Was A Fairytale (Taylor’s Version),61,NA,spotify:track:2JoJrsEV15OzbijS47lids,album,,,https://api.spotify.com/v1/albums/4hDok0OAJd57SGIT8xuWJH,4hDok0OAJd57SGIT8xuWJH,,Fearless (Taylor's Version),2021-04-09,day,26,album,spotify:album:4hDok0OAJd57SGIT8xuWJH,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,USUG12100636
